,Character,Series,Release Date,Uhrzeit,Wishlist
1397,Gaius,Tales of Xillia,17.10.2023,23:00,
1398,Qiao Ling,Link Click,17.10.2023,23:10,
1399,Caspar von Bergliez,Fire Emblem: Three Houses,18.10.2023,0:00,
1400,Kozue Kuranaga,Yosuga no Sora,18.10.2023,0:30,
1401,Daiki Aomine,Kuroko's Basketball,18.10.2023,0:40,❤️ 221
1402,Hinata Minagi,Slow Loop,18.10.2023,1:00,
1403,Chester Burklight,Tales of Phantasia,18.10.2023,1:10,
1404,Hyouka Fuwa,SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn't Exist,18.10.2023,1:30,
1405,Nikaido,Dorohedoro,18.10.2023,1:50,
1406,Fuuko Ibuki,Clannad,18.10.2023,2:00,
1407,Diablo,How NOT to Summon a Demon Lord,18.10.2023,2:20,
1408,Naoka Ueno,A Silent Voice,18.10.2023,2:30,
1409,Eli Ayase,Love Live! School Idol Project,18.10.2023,2:50,
1410,Snow White,Nikke: Goddess of Victory,18.10.2023,3:00,
1411,Nasa Houston,The Orbital Children,18.10.2023,3:30,
1412,Takt Asahina,takt op.Destiny,18.10.2023,3:50,❤️ 242
1413,Georg Carmine,How a Realist Hero Rebuilt the Kingdom,18.10.2023,4:30,
1414,Siesta,The Familiar of Zero,18.10.2023,4:50,
1415,Kazuma Kuwabara,Yu Yu Hakusho,18.10.2023,5:10,
1416,Bojji,Ousama Ranking,18.10.2023,5:20,❤️ 643
1417,Yukikaze Mizuki,Taimanin Yukikaze,18.10.2023,5:40,
1418,Shizuku Mizuori,Summer Pockets,18.10.2023,5:50,
1419,Aki Adagaki,Masamune-kun's Revenge,18.10.2023,6:10,❤️ 114
1420,Yuzuru Nishimiya,A Silent Voice,18.10.2023,6:20,
1421,Jinrai,Frame Arms Girl,18.10.2023,6:40,
1422,Haruhiko Yagi,Hajime no Ippo: The Fighting!,18.10.2023,6:50,
1423,Germany,Hetalia: Axis Powers,18.10.2023,7:10,
1424,Liv (Eclipse),Punishing Gray Raven,18.10.2023,7:20,
1425,Masahito Karakiri,Summer Time Rendering,18.10.2023,7:40,
1426,Kurogane,Tsubasa Reservoir Chronicle,18.10.2023,7:50,
1427,Gundam Spiegel,Mobile Fighter G Gundam,18.10.2023,8:10,
1428,Anthy Himemiya,Revolutionary Girl Utena,18.10.2023,8:30,
1429,Kiki,Kiki's Delivery Service,18.10.2023,8:40,❤️ 110
1430,Karasuma,We Never Learn!,18.10.2023,9:00,
1431,Sigurd,Fate/Grand Order,18.10.2023,9:10,
1432,Shirabe Tsukuyomi,Symphogear G,18.10.2023,9:40,
1433,Rea Katagiri,World's End Harem,18.10.2023,10:00,
1434,Iris,The Strongest Sage with the Weakest Crest,18.10.2023,10:10,
1435,Jabi,Sabikui Bisco,18.10.2023,10:30,
1436,Luhy Jistone,Haiyore! Nyaruko-san,18.10.2023,10:40,
1437,Tamaki Kotatsu,Fire Force,18.10.2023,11:00,❤️ 614
1438,Zeus,Record of Ragnarok,18.10.2023,11:10,
1439,Guoba,Genshin Impact,18.10.2023,11:30,
1440,Naoya Shikijou,Rikei ga Koi ni Ochita no de Shoumei shitemita,18.10.2023,11:50,
1441,CAO-2,Urusei Yatsura,18.10.2023,12:00,
1442,Mikio Shirato,Megalo Box,18.10.2023,12:20,
1443,Mirai,Senran Kagura: Portrait of Girls,18.10.2023,12:30,
1444,Popuko,Pop Team Epic,18.10.2023,12:50,
1445,Rumika Aina,How Heavy Are the Dumbbells You Lift?,18.10.2023,13:00,
1446,Mitsumata,Ousama Ranking,18.10.2023,13:20,
1447,Judai Yuki,Yu-Gi-Oh! GX,18.10.2023,13:30,
1448,Amy Sorel,Soulcalibur II,18.10.2023,13:50,
1449,Ena Shinonome,Project SEKAI COLORFUL STAGE! feat. Hatsune Miku,18.10.2023,14:20,❤️ 309
1450,Kanna,Dead or Alive Xtreme Venus Vacation,18.10.2023,14:30,
1451,Izuku Midoriya,My Hero Academia,18.10.2023,15:00,❤️ 1521
1452,Kycilia Zabi,Mobile Suit Gundam,18.10.2023,15:20,
1453,Gin Ichimaru,Bleach,18.10.2023,15:40,❤️ 84
1454,Rashid Saluja,Magi: The Labyrinth of Magic,18.10.2023,15:50,
1455,Monika,Doki Doki Literature Club!,18.10.2023,16:10,❤️ 529
1456,Ranko Saouji,Sankarea,18.10.2023,16:20,
1457,Goro Mihashi,Shenmue the Animation,18.10.2023,16:40,
1458,Mikado Ryuugamine,Durarara!!,18.10.2023,16:50,
1459,Cleos,She Professed Herself Pupil of the Wise Man,18.10.2023,17:10,
1460,Menchi,Hunter x Hunter,18.10.2023,17:20,
1461,Miia,Monster Musume no Iru Nichijou,18.10.2023,17:50,❤️ 155
1462,Minase Rio,Holostars,18.10.2023,18:10,
1463,Caius Qualls,Tales of the Tempest,18.10.2023,18:20,
1464,Wei Wuxian,Mo Dao Zu Shi,18.10.2023,18:40,❤️ 509
1465,Leon Fou Bartfort,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,18.10.2023,19:00,
1466,Yuki Amane,Steins;Gate 0,18.10.2023,19:10,
1467,Lucina,Fire Emblem Awakening,18.10.2023,19:30,❤️ 101
1468,Brynhildr,Fate/Prototype: Sougin no Fragments,18.10.2023,19:40,
1469,Renji Abarai,Bleach,18.10.2023,20:00,
1470,Italy,Hetalia: Axis Powers,18.10.2023,20:10,
1471,Isaac Dian,Baccano!,18.10.2023,20:30,
1472,Elissa,Log Horizon,18.10.2023,20:40,
1473,Kiriya Senshou,Mother of the Goddess' Dormitory,18.10.2023,21:00,
1474,Ace,Zero Escape,18.10.2023,21:10,
1475,Sakura Amamiya,Shin Sakura Wars,18.10.2023,21:30,
1476,Tachibana Hinano,Virtual eSports Project,18.10.2023,22:00,
1477,Ableth Zalnetgatus,Handyman Saitou in Another World,18.10.2023,22:05,
1478,Cainz Rakkuin,Handyman Saitou in Another World,18.10.2023,22:05,
1479,Flanril Lil Aril,Handyman Saitou in Another World,18.10.2023,22:05,
1480,Former Demon King Dorg,Handyman Saitou in Another World,18.10.2023,22:05,
1481,Gibungle,Handyman Saitou in Another World,18.10.2023,22:05,
1482,Lafanpan,Handyman Saitou in Another World,18.10.2023,22:05,
1483,Morlock,Handyman Saitou in Another World,18.10.2023,22:05,
1484,Saitou,Handyman Saitou in Another World,18.10.2023,22:05,
1485,Amelia Irving,Love Flops,18.10.2023,22:05,
1486,Bai Mongfa,Love Flops,18.10.2023,22:05,
1487,Yoshino Feynman,Love Flops,18.10.2023,22:05,
1488,Yoshio Ijuin,Love Flops,18.10.2023,22:05,
1489,Amelia Rose,The Iceblade Sorcerer Shall Rule the World,18.10.2023,22:05,
1490,Ariane Olgren,The Iceblade Sorcerer Shall Rule the World,18.10.2023,22:05,
1491,Cusuechs Igul,The Iceblade Sorcerer Shall Rule the World,18.10.2023,22:05,
1492,Elisa Griffith,The Iceblade Sorcerer Shall Rule the World,18.10.2023,22:05,
1493,Helena Grady,The Iceblade Sorcerer Shall Rule the World,18.10.2023,22:05,
1494,Lily White,The Iceblade Sorcerer Shall Rule the World,18.10.2023,22:05,
1495,Lydia Ainsworth,The Iceblade Sorcerer Shall Rule the World,18.10.2023,22:05,
1496,Master White,The Iceblade Sorcerer Shall Rule the World,18.10.2023,22:05,
1497,Ray White,The Iceblade Sorcerer Shall Rule the World,18.10.2023,22:05,
1498,Wanda Erica,The Iceblade Sorcerer Shall Rule the World,18.10.2023,22:05,
1499,Zuina Shaq,The Iceblade Sorcerer Shall Rule the World,18.10.2023,22:05,
1500,Kyouka Fujibayashi,The Irregular at Magic High School,18.10.2023,22:30,
1501,George Koizumi,Paradise Kiss,18.10.2023,22:50,
1502,Great Saiyaman,Dragon Ball Z,18.10.2023,23:00,
1503,Heidi,Ascendance of a Bookworm Season 3,18.10.2023,23:20,
1504,Asami Sato,The Legend of Korra,18.10.2023,23:30,❤️ 167
1505,Meliodas,The Seven Deadly Sins,18.10.2023,23:50,❤️ 578
1506,Rosinante Donquixote,One Piece,19.10.2023,0:00,❤️ 245
1507,Sui,Campfire Cooking in Another World with My Absurd Skill,19.10.2023,0:20,❤️ 117
1508,Ayumi Togeguchi,Akebi's Sailor Uniform,19.10.2023,0:30,
1509,Ikki Yoneda,Sakura Wars TV,19.10.2023,0:50,
1510,Kaede Miyano,Slow Loop,19.10.2023,1:20,
1511,Hans Axel von Fersen,The Rose of Versailles,19.10.2023,1:40,
1512,Tsubasa Kazanari,Symphogear,19.10.2023,1:50,
1513,Tobikichi Usahara,Uramichi Oniisan,19.10.2023,2:10,
1514,Vill-V,Honkai Impact 3rd,19.10.2023,2:20,
1515,Raiga Straiga,Uncle from Another World,19.10.2023,2:40,
1516,Kobayashi,Miss Kobayashi's Dragon Maid,19.10.2023,2:50,❤️ 138
1517,Sumia,Fire Emblem Awakening,19.10.2023,3:10,
1518,Oboro Tsukimigusa,SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn't Exist,19.10.2023,3:20,
1519,Kaden,Fire Emblem Fates,19.10.2023,3:40,
1520,Hiou,Kamisama Kiss 2nd Season,19.10.2023,3:50,
1521,Loki Daeva,I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,19.10.2023,4:10,
1522,Ninny Spangcole,BURN THE WITCH,19.10.2023,4:20,
1523,Marin Kitagawa,My Dress-Up Darling,19.10.2023,4:50,❤️ 7549
1524,Hasuta,Haiyore! Nyaruko-san,19.10.2023,5:10,
1525,Koremori Taira,Heike Monogatari,19.10.2023,5:30,
1526,Ryuuou,Tsubasa Reservoir Chronicle,19.10.2023,5:40,
1527,Zeta,Granblue Fantasy the Animation,19.10.2023,6:00,
1528,Yotsuba Nakano,The Quintessential Quintuplets,19.10.2023,6:10,❤️ 935
1529,Bashou,Senran Kagura: New Wave,19.10.2023,6:30,❤️ 80
1530,Kazuya Kujou,Gosick,19.10.2023,7:00,
1531,Asch,Tales of the Abyss,19.10.2023,7:10,
1532,Sistine Fibel,Akashic Records of Bastard Magic Instructor,19.10.2023,7:30,❤️ 94
1533,Rinslet Walker,Black Cat,19.10.2023,8:00,
1534,Fumiya Tomozaki,Bottom-tier Character Tomozaki,19.10.2023,8:10,
1535,Kogara Toto,Virtual eSports Project,19.10.2023,8:30,
1536,Lobelia,Dead or Alive Xtreme Venus Vacation,19.10.2023,8:50,
1537,Hibiki Kimiya,A Destructive God Sits Next to Me,19.10.2023,9:00,
1538,Yatora Yaguchi,Blue Period,19.10.2023,9:20,❤️ 330
1539,Enju Myoujin,Shikizakura,19.10.2023,9:30,
1540,Rinne Amagi,Ensemble Stars!!,19.10.2023,9:50,
1541,Yomotsu Hirasaka,Future Diary,19.10.2023,10:00,
1542,Dominique de Sade,The Case Study of Vanitas,19.10.2023,10:20,❤️ 197
1543,Jann Lee,Dead or Alive,19.10.2023,10:30,
1544,Mamako Ousuki,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,19.10.2023,10:50,❤️ 151
1545,Melty,Miss Kuroitsu from the Monster Development Department,19.10.2023,11:20,
1546,Head Minister,"BASTARD!! -Heavy Metal, Dark Fantasy-",19.10.2023,11:30,
1547,Li Kohran,Sakura Wars TV,19.10.2023,11:50,
1548,Lenore,Castlevania Season 3,19.10.2023,12:10,
1549,Oz Vessalius,Pandora Hearts,19.10.2023,12:20,
1550,Sigrun,Fire Emblem: Path of Radiance,19.10.2023,12:50,
1551,Monokuma,Danganronpa: The Animation,19.10.2023,13:10,❤️ 128
1552,Seiya Aido,I-CHU: Halfway Through the Idol,19.10.2023,13:20,
1553,Utano Tadano,Uramichi Oniisan,19.10.2023,13:40,
1554,Ladd Russo,Baccano!,19.10.2023,13:50,
1555,Rin Itoshi,Blue Lock,19.10.2023,14:10,❤️ 441
1556,Rutee Katrea,Tales of Destiny,19.10.2023,14:20,
1557,Fanis Laminitus,How NOT to Summon a Demon Lord Omega,19.10.2023,14:40,
1558,Mitsuko Torii,Demon King Daimao,19.10.2023,14:50,
1559,Shirley Fenette,Code Geass: Lelouch of the Rebellion,19.10.2023,15:10,
1560,Eirika,Fire Emblem: The Sacred Stones,19.10.2023,15:30,
1561,Kou Mabuchi,Blue Spring Ride,19.10.2023,15:40,❤️ 130
1562,Chief,Nomad: Megalo Box 2,19.10.2023,16:00,
1563,King of Metallicana,Bastard!!,19.10.2023,16:10,
1564,Tsugumi Hazawa,BanG Dream!,19.10.2023,16:30,
1565,Ryu Sanada,Kimi ni Todoke - From Me to You,19.10.2023,16:40,
1566,Shao May,Fullmetal Alchemist: Brotherhood,19.10.2023,17:00,
1567,Kazunari Miyoshi,A3! Season Spring & Summer,19.10.2023,17:30,
1568,Chris Fia Arclight,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,19.10.2023,17:40,
1569,Nene Amano,Digimon Xros Wars,19.10.2023,18:00,
1570,Ryouta Sakuraba,TsukiPro the Animation,19.10.2023,18:10,
1571,Sakuya Sakuma,A3! Season Spring & Summer,19.10.2023,18:30,
1572,Misuzu Kamio,Air,19.10.2023,19:00,
1573,Ran's Mother,Urusei Yatsura,19.10.2023,19:20,
1574,Kurisu Makise,Steins;Gate,19.10.2023,19:30,❤️ 918
1575,Hua Cheng,Tian Guan Ci Fu,19.10.2023,19:50,❤️ 716
1576,Hyakutaro Senju,Tribe Nine,19.10.2023,20:00,
1577,Sakuyo Mikage,Magical Girl Ore,19.10.2023,20:20,
1578,Yui Hachimitsu,Shikimori's Not Just a Cutie,19.10.2023,20:30,
1579,Asuna,Sword Art Online,19.10.2023,20:50,❤️ 2127
1580,Mejiro McQueen,Uma Musume: Pretty Derby,19.10.2023,21:00,
1581,Prim Fiorire,Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,19.10.2023,21:20,
1582,Nika Nanaura,Mobile Suit Gundam: The Witch from Mercury,19.10.2023,21:30,
1583,Eins,Log Horizon,19.10.2023,21:50,
1584,Zelos Wilder,Tales of Symphonia,19.10.2023,22:00,
1585,Uruka Takemoto,We Never Learn,19.10.2023,22:20,
1586,Clover,Zero Escape,19.10.2023,22:40,
1587,Arisu Mizuki,Serial Experiments Lain,19.10.2023,22:50,
1588,King Crimson,JoJo's Bizarre Adventure: Golden Wind,19.10.2023,23:10,
1589,Yuzuru Fushimi,Ensemble Stars!,19.10.2023,23:40,
1590,Rom,Hyperdimension Neptunia,19.10.2023,23:50,
1591,Kousetsu,Shinobi no Ittoki,20.10.2023,0:20,
1592,Teru Asami,Megaton-kyuu Musashi,20.10.2023,0:40,
1593,Zooey,Granblue Fantasy,20.10.2023,0:50,
1594,Seiko Fuji,Police in a Pod,20.10.2023,1:10,
1595,Rei,Urusei Yatsura,20.10.2023,1:20,
1596,Tomie Kawakami,Junji Ito Collection,20.10.2023,1:40,❤️ 352
1597,Shizune Hakamichi,Katawa Shoujo,20.10.2023,2:00,
1598,Yua,Reborn to Master the Blade: From Hero-King to Extraordinary Squire,20.10.2023,2:30,
1599,AZKi,Hololive: Holo no Graffiti,20.10.2023,2:40,
1600,Dan Heng,Honkai: Star Rail,20.10.2023,3:00,❤️ 1192
1601,Masamune Shichigahama,Bakuten!!,20.10.2023,3:10,
1602,Jing Yuan,Honkai: Star Rail,20.10.2023,3:30,❤️ 939
1603,Chiya Ujimatsu,Is the Order a Rabbit?,20.10.2023,3:40,
1604,Haku,Spirited Away,20.10.2023,4:00,❤️ 295
1605,Altena,Fire Emblem: Genealogy of the Holy War,20.10.2023,4:10,
1606,Wodca,My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World!,20.10.2023,4:30,
1607,Rosa Ushiromiya,Umineko: When They Cry,20.10.2023,4:40,
1608,Taki Tachibana,your name.,20.10.2023,5:00,❤️ 138
1609,Filo,The Rising of the Shield Hero,20.10.2023,5:20,
1610,Kenma Kozume,Haikyuu!!,20.10.2023,5:30,❤️ 566
1611,Shion Toumori,Strawberry Panic,20.10.2023,6:00,
1612,Lily Lipman,Birdie Wing: Golf Girls' Story,20.10.2023,6:20,
1613,Teru Minamoto,Toilet-Bound Hanako-kun,20.10.2023,6:30,
1614,Santa,Zero Escape,20.10.2023,6:50,
1615,Chika Fujiwara,Kaguya-sama: Love Is War,20.10.2023,7:00,❤️ 1123
1616,Michiru Fukuroi,Pretty Boy Detective Club,20.10.2023,7:20,
1617,Myojin Yahiko,Rurouni Kenshin,20.10.2023,7:30,
1618,Suzuha Amane,Steins;Gate,20.10.2023,7:50,
1619,Seele Vollerei,Honkai Impact 3rd,20.10.2023,8:00,❤️ 275
1620,Shinei Nouzen,86 EIGHTY-SIX,20.10.2023,8:20,❤️ 367
1621,Shibuya Inori,Luminous Witches,20.10.2023,8:30,
1622,Alicia Florence,Aria the Animation,20.10.2023,8:50,
1623,Voidoll,#Compass,20.10.2023,9:10,
1624,Ryo Sugimoto,Shaman King,20.10.2023,9:40,
1625,Owain,Fire Emblem Awakening,20.10.2023,9:50,
1626,Ayato Yuri,Yarichin Bitch-bu,20.10.2023,10:10,❤️ 145
1627,Mitsuki Sarue,The Devil Is a Part-Timer!,20.10.2023,10:20,
1628,Hana Uzaki,Uzaki-chan Wants to Hang Out!,20.10.2023,10:50,❤️ 187
1629,Pedant,Ultraman Season 2,20.10.2023,11:10,
1630,Hokuto Ijuuin,The iDOLM@STER,20.10.2023,11:20,
1631,Vikala,Granblue Fantasy,20.10.2023,11:40,
1632,Kikuri Hiroi,Bocchi the Rock!,20.10.2023,11:50,❤️ 246
1633,Hina Hikawa,BanG Dream!,20.10.2023,12:30,
1634,Chloe Mansfield,World's End Harem,20.10.2023,12:40,
1635,Tsuzuru Minagi,A3! Season Spring & Summer,20.10.2023,13:10,
1636,Eru Amami,D_Cide Traumerei,20.10.2023,13:30,
1637,Patty,Dead or Alive Xtreme Venus Vacation,20.10.2023,13:40,
1638,Liv (Luminance),Punishing Gray Raven,20.10.2023,14:00,
1639,Aira Shiratori,Ensemble Stars!!,20.10.2023,14:10,
1640,Beidou,Genshin Impact,20.10.2023,14:30,❤️ 532
1641,Shinpachi Nagakura,Hakuouki: Demon of the Fleeting Blossom,20.10.2023,14:40,
1642,Hana Kirisaki,Nisekoi:,20.10.2023,15:00,
1643,Mukou Aoi,Kimi to Kanojo to Kanojo no Koi.,20.10.2023,15:10,
1644,Adonis Otogari,Ensemble Stars!,20.10.2023,15:30,
1645,Saber,Fire Emblem Echoes: Shadows of Valentia,20.10.2023,15:50,
1646,Yaya Nanto,Strawberry Panic,20.10.2023,16:00,
1647,Kizuna Hyuuga,Strawberry Panic,20.10.2023,16:20,
1648,Shizuka Marikawa,Highschool of the Dead,20.10.2023,16:30,❤️ 79
1649,Julia Murai,Great Teacher Onizuka,20.10.2023,16:50,
1650,Jessica,Granblue Fantasy the Animation,20.10.2023,17:00,
1651,Battler Ushiromiya,Umineko: When They Cry,20.10.2023,17:20,
1652,Mayoi Katase,Place to Place,20.10.2023,17:50,
1653,Kaede Kagayama,Non Non Biyori,20.10.2023,18:00,
1654,Yuzu Roromori,The Ones Within,20.10.2023,18:20,
1655,Noi,Dorohedoro,20.10.2023,18:30,❤️ 105
1656,Kirari Momobami,Kakegurui,20.10.2023,19:10,❤️ 239
1657,Sara Azuma,Sarazanmai,20.10.2023,19:20,
1658,Girl,Angel's Egg,20.10.2023,19:40,
1659,Momotani Mashiro,Baku Ane 2: Otouto Ippai Shibocchau zo!,20.10.2023,19:50,
1660,Amane Shinjou,Birdie Wing: Golf Girls' Story,20.10.2023,20:10,
1661,Sachio,Megalo Box,20.10.2023,20:20,
1662,White,Blood Blockade Battlefront,20.10.2023,20:40,
1663,Chiriko Tsurumi,Anohana: The Flower We Saw That Day,20.10.2023,20:50,
1664,Tomoko Nomura,Great Teacher Onizuka,20.10.2023,21:10,
1665,Sanae Furukawa,Clannad,20.10.2023,21:20,
1666,Itsuki Minami,Air Gear,20.10.2023,21:40,
1667,Shuri Maeda,Those Snow White Notes,20.10.2023,21:50,
1668,Selena (Capriccio),Punishing Gray Raven,20.10.2023,22:10,
1669,Saki Izumo,D4DJ First Mix,20.10.2023,22:40,
1670,Raiha Tsuge,Shinobi no Ittoki,20.10.2023,23:00,
1671,Takehiko Yoichi,Haiyore! Nyaruko-san,20.10.2023,23:10,
1672,Biscuit,Nikke: Goddess of Victory,20.10.2023,23:30,
1673,Hakuei Ren,Magi: The Kingdom of Magic,20.10.2023,23:40,
1674,Shintaro Kisaragi,Mekakucity Actors,21.10.2023,0:10,
1675,Scythe Master,Phantom: Requiem for the Phantom,21.10.2023,0:30,
1676,Futaba Sakura,Persona 5 the Animation,21.10.2023,0:40,❤️ 257
1677,Onigiri,Air Gear,21.10.2023,1:00,
1678,Haruki Nakayama,Given,21.10.2023,1:10,
1679,Eru Chitanda,Hyouka,21.10.2023,1:30,❤️ 340
1680,Eleven,Scissor Seven,21.10.2023,1:40,
1681,Akari Yamamoto,"Omoi, Omoware, Furi, Furare",21.10.2023,2:00,
1682,Yasuko Nawashiro,Akebi's Sailor Uniform,21.10.2023,2:30,
1683,Tamaki Amajiki,My Hero Academia 3,21.10.2023,2:50,❤️ 240
1684,Sheena Fujibayashi,Tales of Symphonia,21.10.2023,3:00,
1685,Iroh,Avatar: The Last Airbender,21.10.2023,3:20,❤️ 561
1686,Tooru Hanagata,Slam Dunk,21.10.2023,3:30,
1687,Chiyuki,Death Parade,21.10.2023,3:50,
1688,Soifon,Bleach,21.10.2023,4:00,
1689,Kyo Ethnina,The Rising of the Shield Hero 2nd Season,21.10.2023,4:20,
1690,Tsumugi Aoba,Ensemble Stars!,21.10.2023,4:30,
1691,Jun Sazanami,Ensemble Stars!,21.10.2023,4:50,
1692,Chun Hyang,Tsubasa Reservoir Chronicle,21.10.2023,5:00,
1693,Nagisa Motomiya,AKB0048,21.10.2023,5:20,
1694,Chizuru Yoshida,Kimi ni Todoke - From Me to You,21.10.2023,5:40,
1695,Souma Azemichi,Burning Kabaddi,21.10.2023,5:50,
1696,Akari Mizunashi,Aria the Animation,21.10.2023,6:10,
1697,Gintoki Sakata,Gintama,21.10.2023,6:20,❤️ 585
1698,Elise,Dead or Alive Xtreme Venus Vacation,21.10.2023,6:40,
1699,Dorshe,Ousama Ranking,21.10.2023,6:50,
1700,Kanna Bismarch,Shaman King,21.10.2023,7:10,
1701,Sasha Braus,Attack on Titan,21.10.2023,7:20,❤️ 358
1702,Shouryuu,Log Horizon,21.10.2023,7:40,
1703,Sougo Ousaka,IDOLiSH7,21.10.2023,7:50,
1704,Ogasawara Jirou,Sasaki and Miyano,21.10.2023,8:10,
1705,Tetra,Log Horizon 2,21.10.2023,8:20,
1706,Enmu's Hand,Demon Slayer: Kimetsu no Yaiba the Movie: Mugen Train,21.10.2023,8:40,❤️ 114
1707,Gantetsu Suzunome,Shinobi no Ittoki,21.10.2023,9:00,
1708,Roxy Migurdia,Mushoku Tensei: Jobless Reincarnation,21.10.2023,9:10,❤️ 1167
1709,Reiya,#Compass,21.10.2023,9:30,
1710,Lucius,Life with an Ordinary Guy Who Reincarnated into a Total Fantasy Knockout,21.10.2023,9:40,
1711,Argo Gulskii,Mobile Fighter G Gundam,21.10.2023,10:00,
1712,Yasha,Child of Kamiari Month,21.10.2023,10:10,
1713,Yoichi Saotome,Seraph of the End: Battle in Nagoya,21.10.2023,10:40,
1714,Dohalim il Qaras,Tales of Arise,21.10.2023,11:00,
1715,Ultraman Ace,Ultraman,21.10.2023,11:10,
1716,Emma Sano,Tokyo Revengers,21.10.2023,11:30,❤️ 107
1717,Guo Hao,The Daily Life of the Immortal King,21.10.2023,11:40,
1718,Chammy,"Doraemon: The Records of Nobita, Spaceblazer",21.10.2023,12:00,
1719,Kanade Suzutsuki,Mayo Chiki!,21.10.2023,12:10,
1720,Mori Nagayoshi,Fate/KOHA-ACE,21.10.2023,12:30,
1721,Cid Kagenou,The Eminence in Shadow,21.10.2023,12:50,❤️ 512
1722,Yuno Gasai,Future Diary,21.10.2023,13:00,❤️ 668
1723,Reaks Bowen,I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,21.10.2023,13:20,
1724,Chaos,Heaven's Lost Property: Forte,21.10.2023,13:30,
1725,Nina Einstein,Code Geass: Lelouch of the Rebellion,21.10.2023,13:50,
1726,Hubert von Vestra,Fire Emblem: Three Houses,21.10.2023,14:00,
1727,Kimihito Kurusu,Monster Musume no Iru Nichijou,21.10.2023,14:20,
1728,Toph Beifong,Avatar: The Last Airbender,21.10.2023,14:30,❤️ 940
1729,Yayoi Kunizuka,Psycho-Pass,21.10.2023,14:50,
1730,Kokomi Teruhashi,The Disastrous Life of Saiki K.,21.10.2023,15:20,❤️ 86
1731,Shouko Nishimiya,A Silent Voice,21.10.2023,15:30,❤️ 761
1732,Haruma Kobayashi,We Never Learn,21.10.2023,15:50,
1733,Keito Hasumi,Ensemble Stars!,21.10.2023,16:20,
1734,Julius Will Kresnik,Tales of Xillia 2,21.10.2023,16:40,
1735,Arden,Fire Emblem: Genealogy of the Holy War,21.10.2023,16:50,
1736,Konami Yamo,Magical Girl Ore,21.10.2023,17:20,
1737,Luna,Sailor Moon,21.10.2023,17:40,❤️ 121
1738,Heisuke Toudou,Hakuouki: Demon of the Fleeting Blossom,21.10.2023,17:50,
1739,Eydis Synthesis Ten,Sword Art Online: Alicization Rising Steel,21.10.2023,18:10,
1740,Alan Gardner,Eiga Daisuki Pompo-san,21.10.2023,18:20,
1741,Seiji Shingen,The iDOLM@STER SideM,21.10.2023,18:40,
1742,Shizuku Hinomori,Project SEKAI COLORFUL STAGE! feat. Hatsune Miku,21.10.2023,18:50,❤️ 113
1743,Yasuke,Yasuke,21.10.2023,19:10,
1744,Luke Pearce,Tears of Themis,21.10.2023,19:30,❤️ 142
1745,Peppo,Gankutsuou: The Count of Monte Cristo,21.10.2023,19:40,
1746,Yuri Sakazaki,Art of Fighting,21.10.2023,20:00,
1747,Paka,The Ones Within,21.10.2023,20:10,
1748,Yayoi Norimasa,Child of Kamiari Month,21.10.2023,20:30,
1749,Tenn Kujou,IDOLiSH7,21.10.2023,20:40,
1750,Citron,A3! Season Spring & Summer,21.10.2023,21:00,
1751,Haruko Akagi,Slam Dunk,21.10.2023,21:10,
1752,Jiang Iiuying,The Daily Life of the Immortal King,21.10.2023,21:30,
1753,Futaba Igarashi,My Senpai is Annoying,21.10.2023,21:40,❤️ 105
1754,Sakura Yamauchi,I Want to Eat Your Pancreas,21.10.2023,22:10,❤️ 163
1755,Marion Phauna,Shaman King,21.10.2023,22:40,
1756,Glen Burroughs,Megalo Box,21.10.2023,23:00,
1757,Tatsumi Leonard Aragaki,Megalo Box,21.10.2023,23:20,
1758,Ruri,I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,21.10.2023,23:30,
1759,Eugénie de Danglars,Gankutsuou: The Count of Monte Cristo,21.10.2023,23:50,
1760,Magnhilda,Neural Cloud,22.10.2023,0:00,
1761,Sucrose,Genshin Impact,22.10.2023,0:20,❤️ 222
1762,Ami Nekota,Kamisama Kiss,22.10.2023,0:30,
1763,Kaito Kid,Magic Kaito 1412,22.10.2023,0:50,❤️ 93
1764,Trish Una,JoJo's Bizarre Adventure: Golden Wind,22.10.2023,1:20,
1765,Rai Nagamori,Those Snow White Notes,22.10.2023,1:30,
1766,Razor,Genshin Impact,22.10.2023,1:50,❤️ 297
1767,Proud Wolf,My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World!,22.10.2023,2:00,
1768,Ai Tatsumori,Akebi's Sailor Uniform,22.10.2023,2:20,
1769,Hakui Koyori,Hololive: Holo no Graffiti,22.10.2023,2:40,❤️ 97
1770,Raine Sage,Tales of Symphonia,22.10.2023,2:50,
1771,Mikoto Kibitsu,Peach Boy Riverside,22.10.2023,3:20,
1772,Altria Pendragon,Fate/Grand Order,22.10.2023,3:40,
